File,Colonna,Indice Riga,Valore
Django_spearman-pvalue.csv,core.code.turnover,0,0.0043229900186627
Django_spearman-pvalue.csv,core.code.turnover,4,0.0133753659145312
Django_spearman-pvalue.csv,core.global.turnover,2,0.0092159866545499
Firefox_spearman-pvalue.csv,code.turnover,0,0.0208123843500963
Firefox_spearman-pvalue.csv,code.turnover,4,0.0151537392053323
Firefox_spearman-pvalue.csv,core.code.turnover,0,5.55408265736444e-05
Firefox_spearman-pvalue.csv,core.code.turnover,4,0.0001187662141154
Firefox_spearman-pvalue.csv,core.global.turnover,0,1.35262705192576e-05
Firefox_spearman-pvalue.csv,core.global.turnover,4,2.25298532719732e-05
Firefox_spearman-pvalue.csv,global.turnover,0,0.0230588742090161
Firefox_spearman-pvalue.csv,global.turnover,4,0.0171330348452198
Firefox_spearman-pvalue.csv,core.mail.turnover,0,0.0280703042358757
Firefox_spearman-pvalue.csv,core.mail.turnover,4,0.026924393992727
GitLab_spearman-pvalue.csv,core.code.turnover,0,0.0004283612055632
GitLab_spearman-pvalue.csv,core.code.turnover,4,0.0004283612055632
GitLab_spearman-pvalue.csv,core.global.turnover,0,0.0150173742825602
GitLab_spearman-pvalue.csv,core.global.turnover,4,0.0150173742825602
GitLab_spearman-pvalue.csv,global.turnover,0,0.0254755837807706
GitLab_spearman-pvalue.csv,global.turnover,4,0.0254755837807706
Mesa_spearman-pvalue.csv,code.turnover,4,0.0060455389332126
NodeJs_spearman-pvalue.csv,core.mail.turnover,2,0.0181891720608455
Rails_spearman-pvalue.csv,code.turnover,2,0.03425373678942
Rails_spearman-pvalue.csv,global.turnover,2,0.0224267089854983
U-boot_spearman-pvalue.csv,core.mail.turnover,3,0.0273828714362805
Vagrant_spearman-pvalue.csv,core.code.turnover,0,0.042040065749582
Vagrant_spearman-pvalue.csv,core.code.turnover,4,0.0325380036411931
Vagrant_spearman-pvalue.csv,core.global.turnover,4,0.042040065749582
