File,Colonna,Indice Riga,Valore
Django_pearson-pvalue.csv,code.turnover,2,0.0429366338162501
Django_pearson-pvalue.csv,core.code.turnover,0,0.0190210952499658
Django_pearson-pvalue.csv,core.code.turnover,4,0.0269973159172876
Django_pearson-pvalue.csv,core.global.turnover,2,0.0091613238700055
Django_pearson-pvalue.csv,global.turnover,2,0.0113989343793556
FFmpeg_pearson-pvalue.csv,core.code.turnover,4,0.0229396570562603
Firefox_pearson-pvalue.csv,code.turnover,0,0.0018610734953838
Firefox_pearson-pvalue.csv,code.turnover,4,0.0017922999552103
Firefox_pearson-pvalue.csv,core.code.turnover,0,9.26220625294554e-05
Firefox_pearson-pvalue.csv,core.code.turnover,4,7.6016746379648e-05
Firefox_pearson-pvalue.csv,core.global.turnover,0,0.0001512846615395
Firefox_pearson-pvalue.csv,core.global.turnover,4,0.0001231712463061
Firefox_pearson-pvalue.csv,global.turnover,0,0.0007034088328386
Firefox_pearson-pvalue.csv,global.turnover,4,0.0006644226865823
Firefox_pearson-pvalue.csv,core.mail.turnover,0,0.0416782869982897
Firefox_pearson-pvalue.csv,core.mail.turnover,4,0.0413687655646664
GitLab_pearson-pvalue.csv,core.code.turnover,0,0.0071207830369875
GitLab_pearson-pvalue.csv,core.code.turnover,4,0.0075186436533137
GitLab_pearson-pvalue.csv,core.global.turnover,0,0.006796185313715
GitLab_pearson-pvalue.csv,core.global.turnover,4,0.0065682966517363
Git_pearson-pvalue.csv,core.global.turnover,1,0.0118727296552142
Git_pearson-pvalue.csv,core.mail.turnover,1,0.0100506646735043
iPyhton_pearson-pvalue.csv,core.global.turnover,2,0.0104899846450994
iPyhton_pearson-pvalue.csv,core.mail.turnover,2,0.0130168704549682
LLVM_pearson-pvalue.csv,global.turnover,2,0.000736325396061
Mesa_pearson-pvalue.csv,code.turnover,4,0.0213674839100313
Mesa_pearson-pvalue.csv,core.mail.turnover,3,0.0231780563314241
Nodejs_pearson-pvalue.csv,core.mail.turnover,0,0.0171752745970742
Nodejs_pearson-pvalue.csv,core.mail.turnover,4,0.0210168306806542
Python_pearson-pvalue.csv,core.code.turnover,0,0.047125251502718
Rails_pearson-pvalue.csv,code.turnover,2,0.0180717231895853
Rails_pearson-pvalue.csv,core.code.turnover,2,0.0365349986051913
Rails_pearson-pvalue.csv,global.turnover,2,0.0148540204956822
U-boot_pearson-pvalue.csv,core.mail.turnover,3,0.0322410196133809
Vagrant_pearson-pvalue.csv,core.global.turnover,0,0.0161141906334976
Vagrant_pearson-pvalue.csv,core.global.turnover,4,0.0189506988630379
Vagrant_pearson-pvalue.csv,global.turnover,0,0.0217249623705326
Vagrant_pearson-pvalue.csv,global.turnover,4,0.0220133644049353
Vagrant_pearson-pvalue.csv,core.mail.turnover,0,0.0102487300643619
Vagrant_pearson-pvalue.csv,core.mail.turnover,4,0.0129590188355606
